id,w,h,search,n_bounds,cx,cy,apothems,fit_rms,strengths,cx_each,cy_each
7-18,1468,2048,open,3,146.762,156.791,57.114;67.097;71.611,0.377;0.191;0.315,2953;2943;2186,146.539;146.731;147.105,156.796;156.851;156.705
7-180,1468,2048,open,3,146.749,156.729,57.109;67.109;71.620,0.374;0.196;0.317,2952;2922;2157,146.528;146.716;147.097,156.736;156.795;156.631
7-181,1468,2048,open,3,146.762,156.791,57.114;67.097;71.611,0.377;0.191;0.315,2953;2943;2186,146.539;146.731;147.105,156.796;156.851;156.705
7-182,1468,2048,open,3,146.762,156.791,57.114;67.097;71.611,0.377;0.191;0.315,2953;2943;2186,146.539;146.731;147.105,156.796;156.851;156.705
7-183,1468,2048,open,2,146.156,155.570,67.341;79.160,0.292;0.207,2893;2960,145.852;146.453,155.581;155.558
7-184,1468,2048,open,3,146.762,156.791,57.114;67.097;71.611,0.377;0.191;0.315,2953;2943;2186,146.539;146.731;147.105,156.796;156.851;156.705
7-185,1468,2048,open,3,146.762,156.791,57.114;67.097;71.611,0.377;0.191;0.315,2953;2943;2186,146.539;146.731;147.105,156.796;156.851;156.705
7-186,1468,2048,open,3,146.762,156.791,57.114;67.097;71.611,0.377;0.191;0.315,2953;2943;2186,146.539;146.731;147.105,156.796;156.851;156.705
7-187,1468,2048,open,2,146.156,155.570,67.341;79.160,0.292;0.207,2893;2960,145.852;146.453,155.581;155.558
7-188,1468,2048,open,3,146.762,156.791,57.114;67.097;71.611,0.377;0.191;0.315,2953;2943;2186,146.539;146.731;147.105,156.796;156.851;156.705
7-189,1468,2048,open,3,146.762,156.791,57.114;67.097;71.611,0.377;0.191;0.315,2953;2943;2186,146.539;146.731;147.105,156.796;156.851;156.705
7-19-P2,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
7-19,1468,2048,open,2,146.156,155.570,67.341;79.160,0.292;0.207,2893;2960,145.852;146.453,155.581;155.558
7-190,1468,2048,open,3,146.762,156.791,57.114;67.097;71.611,0.377;0.191;0.315,2953;2943;2186,146.539;146.731;147.105,156.796;156.851;156.705
7-191,1468,2048,open,3,146.762,156.791,57.114;67.097;71.611,0.377;0.191;0.315,2953;2943;2186,146.539;146.731;147.105,156.796;156.851;156.705
7-192,1468,2048,open,3,146.762,156.791,57.114;67.097;71.611,0.377;0.191;0.315,2953;2943;2186,146.539;146.731;147.105,156.796;156.851;156.705
7-193,1468,2048,open,3,146.762,156.791,57.114;67.097;71.611,0.377;0.191;0.315,2953;2943;2186,146.539;146.731;147.105,156.796;156.851;156.705
7-194,1468,2048,open,3,146.762,156.791,57.114;67.097;71.611,0.377;0.191;0.315,2953;2943;2186,146.539;146.731;147.105,156.796;156.851;156.705
7-195,1468,2048,open,3,146.762,156.791,57.114;67.097;71.611,0.377;0.191;0.315,2953;2943;2186,146.539;146.731;147.105,156.796;156.851;156.705
7-196,1468,2048,open,3,146.762,156.791,57.114;67.097;71.611,0.377;0.191;0.315,2953;2943;2186,146.539;146.731;147.105,156.796;156.851;156.705
7-197,1468,2048,open,2,146.156,155.570,67.341;79.160,0.292;0.207,2893;2960,145.852;146.453,155.581;155.558
7-198,1468,2048,open,3,146.762,156.791,57.114;67.097;71.611,0.377;0.191;0.315,2953;2943;2186,146.539;146.731;147.105,156.796;156.851;156.705
7-199,1468,2048,open,2,146.156,155.570,67.341;79.160,0.292;0.207,2893;2960,145.852;146.453,155.581;155.558
7-2-C2,1468,2048,open,2,146.302,155.562,67.726;78.556,0.205;0.119,2949;2956,146.180;146.423,155.537;155.588
7-2,1468,2048,open,3,146.762,156.791,57.114;67.097;71.611,0.377;0.191;0.315,2953;2943;2186,146.539;146.731;147.105,156.796;156.851;156.705
7-20-P2,1468,2048,open,2,146.156,155.570,67.341;79.160,0.292;0.207,2893;2960,145.852;146.453,155.581;155.558
7-20,1468,2048,open,2,146.156,155.570,67.341;79.160,0.292;0.207,2893;2960,145.852;146.453,155.581;155.558
7-200,1468,2048,open,2,146.156,155.570,67.341;79.160,0.292;0.207,2893;2960,145.852;146.453,155.581;155.558
7-201,1468,2048,open,2,146.156,155.570,67.341;79.160,0.292;0.207,2893;2960,145.852;146.453,155.581;155.558
7-202,1468,2048,open,3,146.762,156.791,57.114;67.097;71.611,0.377;0.191;0.315,2953;2943;2186,146.539;146.731;147.105,156.796;156.851;156.705
7-203,1468,2048,open,2,146.156,155.570,67.341;79.160,0.292;0.207,2893;2960,145.852;146.453,155.581;155.558
7-204,1468,2048,open,3,146.749,156.729,57.109;67.109;71.620,0.374;0.196;0.317,2952;2922;2157,146.528;146.716;147.097,156.736;156.795;156.631
7-205,1468,2048,open,3,146.717,156.746,57.341;67.168;71.621,0.152;0.211;0.283,2030;2098;1629,146.538;146.691;146.973,156.746;156.787;156.694
7-206,1468,2048,open,3,146.674,156.758,57.351;67.115;71.664,0.142;0.202;0.175,2413;2345;1722,146.524;146.713;146.832,156.743;156.794;156.727
7-207,1468,2048,open,3,146.676,156.746,57.233;67.112;71.615,0.303;0.197;0.310,1822;1741;1279,146.427;146.718;146.975,156.733;156.792;156.702
7-208,1468,2048,open,2,146.247,155.571,67.345;79.030,0.319;0.258,2032;2046,146.073;146.420,155.584;155.558
7-209,1468,2048,open,2,146.256,155.560,67.341;78.949,0.317;0.257,2284;2333,146.032;146.474,155.567;155.552
7-21-P2,1468,2048,open,3,146.762,156.791,57.114;67.097;71.611,0.377;0.191;0.315,2953;2943;2186,146.539;146.731;147.105,156.796;156.851;156.705
7-21,1468,2048,open,3,146.762,156.791,57.114;67.097;71.611,0.377;0.191;0.315,2953;2943;2186,146.539;146.731;147.105,156.796;156.851;156.705
7-210,1468,2048,open,3,146.655,156.742,57.350;67.042;71.615,0.151;0.270;0.304,2046;1955;1390,146.543;146.586;146.917,156.740;156.779;156.692
7-211,1468,2048,open,2,146.419,155.564,67.263;79.015,0.218;0.249,2709;2814,146.217;146.614,155.569;155.558
7-212,1468,2048,open,3,146.656,156.746,57.149;67.163;71.592,0.350;0.244;0.329,2411;2510;1921,146.456;146.605;146.973,156.757;156.781;156.686
