id,w,h,search,n_bounds,cx,cy,apothems,fit_rms,strengths,cx_each,cy_each
11-156,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-157,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-158,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-159,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-16,1468,2048,open,2,146.303,155.565,67.722;78.564,0.203;0.117,2893;2903,146.178;146.426,155.540;155.590
11-160,1468,2048,open,2,146.303,155.565,67.722;78.564,0.203;0.117,2893;2903,146.178;146.426,155.540;155.590
11-161,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-162,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-163,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-164,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-165,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-166,1468,2048,open,2,146.303,155.565,67.722;78.564,0.203;0.117,2893;2903,146.178;146.426,155.540;155.590
11-167,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-168,1468,2048,open,2,146.303,155.565,67.722;78.564,0.203;0.117,2893;2903,146.178;146.426,155.540;155.590
11-169,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-17,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-170,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-171,1468,2048,open,2,146.303,155.565,67.722;78.564,0.203;0.117,2893;2903,146.178;146.426,155.540;155.590
11-172,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-173,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-174,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-175,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-176,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-177,1468,2048,open,2,146.303,155.565,67.722;78.564,0.203;0.117,2893;2903,146.178;146.426,155.540;155.590
11-178,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-179,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-18,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-180,1468,2048,open,2,146.303,155.565,67.722;78.564,0.203;0.117,2893;2903,146.178;146.426,155.540;155.590
11-181,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-182,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-183,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-184,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-185,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-186,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-187,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-188,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-189,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-19,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-190,1468,2048,open,2,146.303,155.565,67.722;78.564,0.203;0.117,2893;2903,146.178;146.426,155.540;155.590
11-191,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-192,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-193,1468,2048,open,2,146.303,155.565,67.722;78.564,0.203;0.117,2893;2903,146.178;146.426,155.540;155.590
11-194,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-195,1468,2048,open,2,146.303,155.565,67.722;78.564,0.203;0.117,2893;2903,146.178;146.426,155.540;155.590
11-196,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-197,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-198,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-199,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-2-PD1,1468,2048,open,2,146.302,155.561,67.717;78.574,0.206;0.113,2880;2877,146.178;146.425,155.538;155.583
11-2,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-20,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-200,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-201,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-202,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-203,1468,2048,open,2,146.303,155.565,67.722;78.564,0.203;0.117,2893;2903,146.178;146.426,155.540;155.590
11-204,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-205,1468,2048,open,3,146.599,156.744,57.759;66.580;72.042,0.195;0.143;0.359,2898;2998;2220,146.559;146.561;146.704,156.739;156.710;156.797
11-206,1468,2048,open,2,146.305,155.559,67.730;78.531,0.201;0.116,2990;2994,146.186;146.424,155.539;155.578
11-207,1468,2048,open,3,146.599,156.744,57.759;66.580;72.042,0.195;0.143;0.359,2898;2998;2220,146.559;146.561;146.704,156.739;156.710;156.797
11-208,1468,2048,open,3,146.599,156.744,57.759;66.580;72.042,0.195;0.143;0.359,2898;2998;2220,146.559;146.561;146.704,156.739;156.710;156.797
11-209,1468,2048,open,3,146.599,156.744,57.759;66.580;72.042,0.195;0.143;0.359,2898;2998;2220,146.559;146.561;146.704,156.739;156.710;156.797
11-21,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-210,1468,2048,open,3,146.599,156.744,57.759;66.580;72.042,0.195;0.143;0.359,2898;2998;2220,146.559;146.561;146.704,156.739;156.710;156.797
11-211,1468,2048,open,3,146.599,156.744,57.759;66.580;72.042,0.195;0.143;0.359,2898;2998;2220,146.559;146.561;146.704,156.739;156.710;156.797
11-212,1468,2048,open,2,146.306,155.560,67.730;78.533,0.201;0.117,2990;2994,146.186;146.425,155.539;155.581
11-213,1468,2048,open,3,146.599,156.744,57.759;66.580;72.042,0.195;0.143;0.359,2898;2998;2220,146.559;146.561;146.704,156.739;156.710;156.797
11-214,1468,2048,open,3,146.599,156.744,57.759;66.580;72.042,0.195;0.143;0.359,2898;2998;2220,146.559;146.561;146.704,156.739;156.710;156.797
11-215,1468,2048,open,3,146.599,156.744,57.759;66.580;72.042,0.195;0.143;0.359,2898;2998;2220,146.559;146.561;146.704,156.739;156.710;156.797
11-216,1468,2048,open,2,146.305,155.559,67.730;78.532,0.201;0.116,2990;2995,146.186;146.424,155.539;155.579
11-217,1468,2048,open,3,146.599,156.744,57.759;66.580;72.042,0.195;0.143;0.359,2898;2998;2220,146.559;146.561;146.704,156.739;156.710;156.797
11-218,1468,2048,open,3,146.599,156.744,57.759;66.580;72.042,0.195;0.143;0.359,2898;2998;2220,146.559;146.561;146.704,156.739;156.710;156.797
11-219,1468,2048,open,3,146.599,156.744,57.759;66.580;72.042,0.195;0.143;0.359,2898;2998;2220,146.559;146.561;146.704,156.739;156.710;156.797
11-22,1468,2048,open,3,146.594,156.802,57.736;66.610;72.034,0.193;0.155;0.355,2783;2850;1895,146.558;146.555;146.707,156.797;156.768;156.859
11-220,1468,2048,open,3,146.599,156.744,57.759;66.580;72.042,0.195;0.143;0.359,2898;2998;2220,146.559;146.561;146.704,156.739;156.710;156.797
11-221,1468,2048,open,3,146.599,156.744,57.759;66.580;72.042,0.195;0.143;0.359,2898;2998;2220,146.559;146.561;146.704,156.739;156.710;156.797
11-222,1468,2048,open,2,146.305,155.559,67.730;78.532,0.201;0.116,2990;2994,146.186;146.424,155.539;155.579
11-223,1468,2048,open,3,146.598,156.738,57.734;66.605;72.014,0.189;0.146;0.346,2689;2851;1860,146.561;146.555;146.718,156.737;156.711;156.779
11-224,1468,2048,open,3,146.598,156.738,57.734;66.604;72.014,0.189;0.145;0.345,2689;2850;1861,146.561;146.554;146.718,156.737;156.712;156.778
11-225,1468,2048,open,2,146.303,155.564,67.717;78.563,0.204;0.118,2810;2828,146.187;146.418,155.539;155.588
11-226,1468,2048,open,3,146.598,156.738,57.734;66.604;72.014,0.189;0.145;0.345,2689;2850;1861,146.561;146.554;146.718,156.737;156.712;156.778
11-227,1468,2048,open,3,146.598,156.738,57.734;66.604;72.014,0.189;0.145;0.345,2689;2850;1861,146.561;146.554;146.718,156.737;156.712;156.778
11-228,1468,2048,open,3,146.598,156.738,57.734;66.604;72.014,0.189;0.145;0.345,2689;2850;1861,146.561;146.554;146.718,156.737;156.712;156.778
11-229,1468,2048,open,3,146.598,156.738,57.734;66.604;72.014,0.189;0.145;0.345,2689;2850;1861,146.561;146.554;146.718,156.737;156.712;156.778
11-23,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-230,1468,2048,open,3,146.598,156.738,57.734;66.604;72.014,0.189;0.145;0.345,2689;2850;1861,146.561;146.554;146.718,156.737;156.712;156.778
11-231,1468,2048,open,3,146.598,156.738,57.734;66.604;72.014,0.189;0.145;0.345,2689;2850;1861,146.561;146.554;146.718,156.737;156.712;156.778
11-232,1468,2048,open,3,146.598,156.738,57.734;66.604;72.014,0.189;0.145;0.345,2689;2850;1861,146.561;146.554;146.718,156.737;156.712;156.778
11-233,1468,2048,open,3,146.598,156.738,57.734;66.604;72.014,0.189;0.145;0.345,2689;2850;1861,146.561;146.554;146.718,156.737;156.712;156.778
11-234,1468,2048,open,2,146.304,155.565,67.717;78.566,0.204;0.118,2810;2833,146.187;146.420,155.539;155.591
11-235,1468,2048,open,3,146.598,156.738,57.734;66.604;72.014,0.189;0.145;0.345,2689;2850;1861,146.561;146.554;146.718,156.737;156.712;156.778
11-236,1468,2048,open,3,146.598,156.738,57.734;66.604;72.014,0.189;0.145;0.345,2689;2850;1861,146.561;146.554;146.718,156.737;156.712;156.778
11-237,1468,2048,open,3,146.598,156.738,57.734;66.604;72.014,0.189;0.145;0.345,2689;2850;1861,146.561;146.554;146.718,156.737;156.712;156.778
11-238,1468,2048,open,3,146.598,156.738,57.734;66.604;72.014,0.189;0.145;0.345,2689;2850;1861,146.561;146.554;146.718,156.737;156.712;156.778
11-239,1468,2048,open,3,146.598,156.738,57.734;66.604;72.014,0.189;0.145;0.345,2689;2850;1861,146.561;146.554;146.718,156.737;156.712;156.778
11-24,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-240,1468,2048,open,3,146.598,156.738,57.734;66.604;72.014,0.189;0.145;0.345,2689;2850;1861,146.561;146.554;146.718,156.737;156.712;156.778
11-241,1468,2048,open,4,146.551,156.171,55.244;63.892;74.009;106.820,0.268;0.252;0.398;1.587,914;961;785;366,146.768;146.248;146.674;146.546,156.486;156.115;155.977;155.952
11-242,1468,2048,open,3,146.491,156.232,55.681;63.362;74.656,0.180;0.127;0.158,1656;1848;1265,146.501;146.471;146.506,156.406;156.150;156.123
11-25,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-26,1468,2048,open,2,146.303,155.565,67.722;78.564,0.203;0.117,2893;2903,146.178;146.426,155.540;155.590
11-27,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-28-P3,1468,2048,open,3,146.260,155.566,67.726;78.553;85.155,0.205;0.116;0.159,2950;2957;2874,146.180;146.425;146.172,155.537;155.586;155.577
11-28,1468,2048,open,2,146.303,155.565,67.722;78.564,0.203;0.117,2893;2903,146.178;146.426,155.540;155.590
11-29-P3,1468,2048,open,3,146.569,156.804,57.745;66.598;72.041,0.192;0.157;0.351,2864;2981;2052,146.533;146.519;146.693,156.804;156.780;156.839
11-29,1468,2048,open,2,146.303,155.565,67.722;78.564,0.203;0.117,2893;2903,146.178;146.426,155.540;155.590
11-3,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-30-P3,1468,2048,open,3,146.569,156.804,57.745;66.598;72.041,0.192;0.157;0.351,2864;2981;2052,146.533;146.519;146.693,156.804;156.780;156.839
11-30,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-31-P3,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-31,1468,2048,open,2,146.303,155.565,67.722;78.564,0.203;0.117,2893;2903,146.178;146.426,155.540;155.589
11-32-P3,1468,2048,open,3,146.268,155.560,67.726;78.555;85.136,0.205;0.118;0.151,2950;2957;2299,146.180;146.426;146.177,155.537;155.588;155.554
11-32,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-33-P3,1468,2048,open,3,146.636,156.807,57.660;66.680;72.079,0.162;0.191;0.163,2861;2934;1914,146.541;146.519;146.960,156.796;156.823;156.799
11-33,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-34-P3,1468,2048,open,3,146.636,156.806,57.661;66.680;72.081,0.162;0.191;0.163,2861;2931;1914,146.540;146.519;146.959,156.794;156.823;156.797
11-34,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-35-P3,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-35,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-36,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-37,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-38,1468,2048,open,2,146.303,155.565,67.722;78.564,0.203;0.117,2893;2903,146.178;146.426,155.540;155.590
11-39,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-4,1468,2048,open,2,146.303,155.565,67.722;78.564,0.203;0.117,2893;2903,146.178;146.426,155.540;155.590
11-40,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-41,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-42-P3,1468,2048,open,3,146.598,156.737,57.734;66.604;72.015,0.190;0.146;0.346,2769;2913;1918,146.561;146.553;146.718,156.739;156.711;156.773
11-42,1468,2048,open,2,146.303,155.565,67.722;78.564,0.203;0.117,2893;2903,146.178;146.426,155.540;155.590
11-43,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-44,1468,2048,open,2,146.303,155.565,67.722;78.564,0.203;0.117,2893;2903,146.178;146.426,155.540;155.590
11-45,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-46,1468,2048,open,2,146.303,155.565,67.722;78.564,0.203;0.117,2893;2903,146.178;146.426,155.540;155.590
11-47,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-48,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-49,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-5,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-50,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.712,156.797;156.779;156.846
11-51,1468,2048,open,2,146.303,155.565,67.722;78.564,0.203;0.117,2893;2903,146.178;146.426,155.540;155.590
11-52,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-53,1468,2048,open,2,146.303,155.565,67.722;78.564,0.203;0.117,2893;2903,146.178;146.426,155.540;155.590
11-54,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-55,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-56,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-57,1468,2048,open,2,146.303,155.565,67.722;78.564,0.203;0.117,2893;2903,146.178;146.426,155.540;155.590
11-58,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-59,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-6,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-60,1468,2048,open,2,146.303,155.565,67.722;78.564,0.203;0.117,2893;2903,146.178;146.426,155.540;155.590
11-61,1468,2048,open,2,146.303,155.565,67.722;78.564,0.203;0.117,2893;2903,146.178;146.426,155.540;155.590
11-62,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-63,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-64,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-65,1468,2048,open,2,146.303,155.565,67.722;78.564,0.203;0.117,2893;2903,146.178;146.426,155.540;155.590
11-66,1468,2048,open,2,146.303,155.565,67.722;78.564,0.203;0.117,2893;2903,146.178;146.426,155.540;155.590
11-67,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-68,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-69,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-7,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-70,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-71,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-72,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-73,1468,2048,open,2,146.303,155.565,67.722;78.564,0.203;0.117,2893;2903,146.178;146.426,155.540;155.590
11-74,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-75,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-76,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-77,1468,2048,open,2,146.303,155.565,67.722;78.564,0.203;0.117,2893;2903,146.178;146.426,155.540;155.590
11-78,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-79,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-8,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-80,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-81,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-82,1468,2048,open,2,146.303,155.565,67.722;78.564,0.203;0.117,2893;2903,146.178;146.426,155.540;155.590
11-83,1468,2048,open,2,146.303,155.565,67.722;78.564,0.203;0.117,2893;2903,146.178;146.426,155.540;155.590
11-84,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-85,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-86,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-87,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-88,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-89,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-9,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-90,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-91,1468,2048,open,2,146.303,155.565,67.722;78.564,0.203;0.117,2893;2903,146.178;146.426,155.540;155.590
11-92,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-93,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-94,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
11-95,1468,2048,open,3,146.598,156.802,57.736;66.617;72.024,0.193;0.151;0.351,2783;2926;1932,146.558;146.562;146.711,156.797;156.779;156.845
