id,file,setCode,number,promoGrouping,rarity,bordered_empirical,black_level,left_px,right_px,top_px,band_top_px,emb_score_std,emb_x_std,emb_y_std,emb_score_enc,emb_x_enc,emb_y_enc,top_px_v2
1-20-P1,images/1-20-P1.jpg,1,20,P1,Special,False,53.0,-1,-1,-1,-1,0.1895,566,1867,0.2419,642,1916,-1
1-200,images/1-200.jpg,1,200,,Uncommon,True,1.0,60,60,67,1907,0.6457,645,1899,0.356,737,1886,66
1-201,images/1-201.jpg,1,201,,Common,True,1.0,61,61,67,1906,0.7375,647,1900,0.3603,733,1886,67
1-202,images/1-202.jpg,1,202,,Uncommon,True,1.0,61,61,67,1906,0.6472,645,1899,0.3552,737,1885,67
1-203,images/1-203.jpg,1,203,,Rare,True,1.0,61,61,67,1907,0.6197,647,1900,0.3519,576,1886,67
1-204,images/1-204.jpg,1,204,,Rare,True,1.0,61,61,67,1907,0.6197,647,1900,0.3519,576,1886,67
1-205,images/1-205.jpg,1,205,,Enchanted,False,50.0,-1,-1,-1,-1,0.5761,647,1903,0.3397,562,1889,-1
1-206,images/1-206.jpg,1,206,,Enchanted,False,98.0,-1,-1,-1,-1,0.573,647,1903,0.3404,562,1889,-1
1-207,images/1-207.jpg,1,207,,Enchanted,False,127.0,-1,-1,-1,-1,0.5737,647,1903,0.3412,562,1889,-1
1-208,images/1-208.jpg,1,208,,Enchanted,False,55.0,-1,-1,-1,-1,0.575,647,1903,0.3402,562,1889,-1
1-209,images/1-209.jpg,1,209,,Enchanted,False,59.0,-1,-1,-1,-1,0.5769,647,1903,0.3375,738,1891,-1
1-21,images/1-21.jpg,1,21,,Legendary,True,1.0,60,60,66,1907,0.9939,650,1900,0.337,567,1886,66
1-21-P1,images/1-21-P1.jpg,1,21,P1,Special,False,49.0,-1,-1,-1,-1,0.1917,565,1868,0.2409,642,1916,-1
1-210,images/1-210.jpg,1,210,,Enchanted,False,98.0,-1,-1,-1,-1,0.5768,647,1903,0.3402,738,1890,-1
1-211,images/1-211.jpg,1,211,,Enchanted,False,37.0,-1,-1,-1,-1,0.5739,647,1903,0.3389,562,1889,-1
1-212,images/1-212.jpg,1,212,,Enchanted,False,117.0,-1,-1,-1,-1,0.5645,647,1903,0.3403,738,1890,-1
1-213,images/1-213.jpg,1,213,,Enchanted,False,34.0,-1,-1,-1,-1,0.557,647,1903,0.3387,738,1890,-1
